ticker,csl,bp_median,bp_max,admitted,error
ABSI,2.3067909591941795,1556.522468177929,2728.727235135333,True,
CRMD,,,,False,'max_hp'
FLGT,,,,False,'max_hp'
IMUX,2.3102843376106987,1591.1008565720565,2793.1839322199235,True,
KPTI,2.4475697807215107,1288.4477807599033,2487.2260897214273,True,
MCRB,2.045802388188644,1662.0818475541728,2817.7202388571914,True,
NBTX,,,,False,'max_hp'
PRQR,,,,False,'max_hp'
SGMO,2.5405059816346287,928.5178128564371,1735.8889702387214,True,
ASTE,,,,False,csl_rejected
BCYC,,,,False,'max_hp'
BCTX,,,,False,'max_hp'
BCRX,,,,False,'max_hp'
BEEM,,,,False,'max_hp'
CRBP,,,,False,'max_hp'
CRSR,,,,False,'max_hp'
EBON,2.7198566549460907,1191.4281068999205,1953.3512302349216,True,
EXTR,,,,False,'max_hp'
HBIO,2.4157381520650696,1477.6633589577996,2647.5461617427677,True,
HOTH,2.4622428087620594,1447.8887835264923,2581.9466001049486,True,
KROS,,,,False,'max_hp'
LRMR,2.2370890732604694,1702.9882063869393,2821.426408861539,True,
